timestamp,parameter,value
2025-06-08 17:42:08,MIN_BUY_SCORE,0.49
2025-06-08 17:57:15,MIN_BUY_SCORE,0.49
2025-06-08 18:12:20,MIN_BUY_SCORE,0.49
2025-06-08 18:27:24,MIN_BUY_SCORE,0.49
2025-06-08 18:42:50,MIN_BUY_SCORE,0.49
2025-06-08 18:57:54,MIN_BUY_SCORE,0.49
2025-06-08 19:12:58,MIN_BUY_SCORE,0.49
2025-06-08 19:28:03,MIN_BUY_SCORE,0.49
2025-06-08 19:43:07,MIN_BUY_SCORE,0.49
2025-06-08 19:58:12,MIN_BUY_SCORE,0.49
2025-06-08 20:13:18,MIN_BUY_SCORE,0.49
2025-06-08 20:28:23,MIN_BUY_SCORE,0.49
2025-06-08 20:43:27,MIN_BUY_SCORE,0.49
2025-06-08 20:58:32,MIN_BUY_SCORE,0.49
2025-06-08 21:13:37,MIN_BUY_SCORE,0.49
2025-06-08 21:28:42,MIN_BUY_SCORE,0.49
2025-06-08 21:43:46,MIN_BUY_SCORE,0.49
2025-06-08 21:58:51,MIN_BUY_SCORE,0.49
2025-06-08 22:13:56,MIN_BUY_SCORE,0.49
2025-06-08 22:44:02,MIN_BUY_SCORE,0.49
2025-06-08 23:14:07,MIN_BUY_SCORE,0.49
2025-06-08 23:44:12,MIN_BUY_SCORE,0.49
2025-06-09 00:14:17,MIN_BUY_SCORE,0.49
2025-06-09 00:44:21,MIN_BUY_SCORE,0.49
2025-06-09 01:14:26,MIN_BUY_SCORE,0.49
2025-06-09 01:44:30,MIN_BUY_SCORE,0.49
2025-06-09 02:14:35,MIN_BUY_SCORE,0.49
2025-06-09 03:14:39,MIN_BUY_SCORE,0.49
2025-06-09 04:14:43,MIN_BUY_SCORE,0.49
2025-06-09 05:14:48,MIN_BUY_SCORE,0.49
2025-06-09 06:14:52,MIN_BUY_SCORE,0.49
2025-06-09 07:14:56,MIN_BUY_SCORE,0.5
2025-06-09 08:15:02,MIN_BUY_SCORE,0.5
2025-06-09 08:30:08,MIN_BUY_SCORE,0.5
2025-06-09 08:45:14,MIN_BUY_SCORE,0.5
2025-06-09 09:00:20,MIN_BUY_SCORE,0.5
2025-06-09 09:15:27,MIN_BUY_SCORE,0.5
2025-06-09 09:30:32,MIN_BUY_SCORE,0.5
2025-06-09 09:45:38,MIN_BUY_SCORE,0.5
2025-06-09 10:00:44,MIN_BUY_SCORE,0.5
2025-06-09 10:15:50,MIN_BUY_SCORE,0.5
2025-06-09 10:30:56,MIN_BUY_SCORE,0.5
2025-06-09 10:46:03,MIN_BUY_SCORE,0.5
2025-06-09 11:01:10,MIN_BUY_SCORE,0.5
2025-06-09 11:16:16,MIN_BUY_SCORE,0.5
2025-06-09 11:31:23,MIN_BUY_SCORE,0.5
2025-06-09 11:46:31,MIN_BUY_SCORE,0.5
2025-06-09 12:01:38,MIN_BUY_SCORE,0.5
2025-06-09 12:16:45,MIN_BUY_SCORE,0.5
2025-06-09 12:31:51,MIN_BUY_SCORE,0.5
2025-06-09 12:46:57,MIN_BUY_SCORE,0.5
2025-06-09 13:02:03,MIN_BUY_SCORE,0.5
2025-06-09 13:17:09,MIN_BUY_SCORE,0.5
2025-06-09 13:32:16,MIN_BUY_SCORE,0.5
2025-06-09 13:47:24,MIN_BUY_SCORE,0.5
2025-06-09 14:02:30,MIN_BUY_SCORE,0.5
2025-06-09 14:17:36,MIN_BUY_SCORE,0.5
2025-06-09 14:32:43,MIN_BUY_SCORE,0.5
2025-06-09 14:47:49,MIN_BUY_SCORE,0.5
2025-06-09 15:02:56,MIN_BUY_SCORE,0.5
2025-06-09 15:18:04,MIN_BUY_SCORE,0.5
2025-06-09 15:33:12,MIN_BUY_SCORE,0.5
2025-06-09 15:48:21,MIN_BUY_SCORE,0.5
2025-06-09 16:03:33,MIN_BUY_SCORE,0.5
2025-06-09 16:18:41,MIN_BUY_SCORE,0.5
2025-06-09 16:33:50,MIN_BUY_SCORE,0.5
2025-06-09 16:48:58,MIN_BUY_SCORE,0.51
2025-06-09 17:04:08,MIN_BUY_SCORE,0.51
2025-06-09 17:19:17,MIN_BUY_SCORE,0.51
2025-06-09 17:34:25,MIN_BUY_SCORE,0.51
2025-06-09 17:49:33,MIN_BUY_SCORE,0.51
2025-06-09 18:04:40,MIN_BUY_SCORE,0.51
2025-06-10 08:53:28,MIN_BUY_SCORE,0.51
2025-06-10 09:08:33,MIN_BUY_SCORE,0.51
2025-06-10 09:23:37,MIN_BUY_SCORE,0.51
