timestamp,signal,total_signals,positive_outcomes,hit_rate_%,avg_return_%
2025-06-02 13:11:21,SELL,798,601,75.3,1.0
2025-06-02 13:11:21,HOLD,13300,6378,48.0,-0.05
2025-06-02 13:26:24,BUY,117,117,100.0,909.9
2025-06-02 13:26:24,SELL,821,612,74.5,0.97
2025-06-02 13:26:24,HOLD,13628,6494,47.7,-0.06
2025-06-02 13:41:27,BUY,118,118,100.0,909.9
2025-06-02 13:41:27,SELL,844,622,73.7,0.94
2025-06-02 13:41:27,HOLD,13956,6602,47.3,-0.07
2025-06-02 13:56:30,BUY,119,119,100.0,909.9
2025-06-02 13:56:30,SELL,867,632,72.9,0.92
2025-06-02 13:56:30,HOLD,14284,6704,46.9,-0.08
2025-06-02 14:11:34,BUY,120,120,100.0,909.9
2025-06-02 14:11:34,SELL,890,642,72.1,0.89
2025-06-02 14:11:34,HOLD,14612,6802,46.6,-0.09
2025-06-02 14:26:37,BUY,121,121,100.0,909.9
2025-06-02 14:26:37,SELL,913,652,71.4,0.86
2025-06-02 14:26:37,HOLD,14940,6896,46.2,-0.1
2025-06-02 14:41:41,BUY,122,122,100.0,909.9
2025-06-02 14:41:41,SELL,936,666,71.2,0.85
2025-06-02 14:41:41,HOLD,15268,7034,46.1,-0.1
2025-06-02 14:56:45,BUY,123,123,100.0,909.9
2025-06-02 14:56:45,SELL,959,678,70.7,0.84
2025-06-02 14:56:45,HOLD,15596,7171,46.0,-0.1
2025-06-02 15:11:48,BUY,124,124,100.0,909.9
2025-06-02 15:11:48,SELL,982,689,70.2,0.82
2025-06-02 15:11:48,HOLD,15924,7301,45.8,-0.11
2025-06-02 15:26:51,BUY,125,125,100.0,909.9
2025-06-02 15:26:51,SELL,1005,701,69.8,0.81
2025-06-02 15:26:51,HOLD,16252,7432,45.7,-0.11
2025-06-02 15:41:55,BUY,126,126,100.0,909.9
2025-06-02 15:41:55,SELL,1028,717,69.7,0.8
2025-06-02 15:41:55,HOLD,16580,7598,45.8,-0.11
2025-06-02 15:56:59,BUY,127,127,100.0,909.9
2025-06-02 15:56:59,SELL,1051,728,69.3,0.79
2025-06-02 15:56:59,HOLD,16908,7716,45.6,-0.11
2025-06-02 16:12:02,BUY,128,128,100.0,909.9
2025-06-02 16:12:02,SELL,1074,740,68.9,0.77
2025-06-02 16:12:02,HOLD,17236,7838,45.5,-0.12
2025-06-02 16:27:06,BUY,129,129,100.0,909.9
2025-06-02 16:27:06,SELL,1097,758,69.1,0.77
2025-06-02 16:27:06,HOLD,17564,8037,45.8,-0.11
2025-06-02 16:42:10,BUY,130,130,100.0,909.9
2025-06-02 16:42:10,SELL,1120,774,69.1,0.77
2025-06-02 16:42:10,HOLD,17892,8217,45.9,-0.1
2025-06-02 16:57:14,BUY,131,131,100.0,909.9
2025-06-02 16:57:14,SELL,1143,789,69.0,0.76
2025-06-02 16:57:14,HOLD,18220,8371,45.9,-0.1
2025-06-02 17:12:17,BUY,132,132,100.0,909.9
2025-06-02 17:12:17,SELL,1166,802,68.8,0.75
2025-06-02 17:12:17,HOLD,18548,8508,45.9,-0.11
2025-06-02 17:27:21,BUY,133,133,100.0,909.9
2025-06-02 17:27:21,SELL,1189,820,69.0,0.75
2025-06-02 17:27:21,HOLD,18876,8710,46.1,-0.1
2025-06-02 17:42:24,BUY,134,134,100.0,909.9
2025-06-02 17:42:24,SELL,1212,837,69.1,0.75
2025-06-02 17:42:24,HOLD,19204,8898,46.3,-0.09
2025-06-02 17:57:28,BUY,135,135,100.0,909.9
2025-06-02 17:57:28,SELL,1235,853,69.1,0.75
2025-06-02 17:57:28,HOLD,19532,9087,46.5,-0.09
2025-06-02 18:12:31,BUY,136,136,100.0,909.9
2025-06-02 18:12:31,SELL,1258,869,69.1,0.74
2025-06-02 18:12:31,HOLD,19860,9267,46.7,-0.09
2025-06-02 18:27:35,BUY,137,137,100.0,909.9
2025-06-02 18:27:35,SELL,1281,884,69.0,0.74
2025-06-02 18:27:35,HOLD,20188,9426,46.7,-0.09
2025-06-02 18:42:38,BUY,138,138,100.0,909.9
2025-06-02 18:42:38,SELL,1304,900,69.0,0.73
2025-06-02 18:42:38,HOLD,20516,9588,46.7,-0.08
2025-06-02 18:57:42,BUY,139,139,100.0,909.9
2025-06-02 18:57:42,SELL,1327,918,69.2,0.73
2025-06-02 18:57:42,HOLD,20844,9782,46.9,-0.08
2025-06-02 19:12:45,BUY,140,140,100.0,909.9
2025-06-02 19:12:45,SELL,1350,935,69.3,0.73
